prerequisite,topic
Processing a C++ Program,int Data Type and Logical (Boolean) Expressions
The Language of a Computer,bool Data Type and Logical (Boolean) Expressions
Processing a C++ Program,bool Data Type and Logical (Boolean) Expressions
The Language of a Computer,Selection: if and ifelse
Processing a C++ Program,Selection: if and ifelse
The Language of a Computer,One-Way Selection 189
Processing a C++ Program,One-Way Selection 189
Processing a C++ Program,Two-Way Selection
Structured Programming,Two-Way Selection
Processing a C++ Program,Compound (Block of) Statements
Structured Programming,Compound (Block of) Statements
Processing a C++ Program,Multiple Selections: Nested if
Structured Programming,Multiple Selections: Nested if
Processing a C++ Program,Comparing ifelse Statements with a Series of if Statements
Structured Programming,Comparing ifelse Statements with a Series of if Statements
The Language of a Computer,Short-Circuit Evaluation
Processing a C++ Program,Short-Circuit Evaluation
Processing a C++ Program,Comparing Floating-Point Numbers for Equality: A Precaution
Programming with the Problem Analysis–Coding–Execution Cycle,Comparing Floating-Point Numbers for Equality: A Precaution
The Language of a Computer,Associativity of Relational Operators: A Precaution
Processing a C++ Program,Associativity of Relational Operators: A Precaution
The Language of a Computer,Avoiding Bugs by Avoiding Partially Understood Concepts and Techniques
Processing a C++ Program,Avoiding Bugs by Avoiding Partially Understood Concepts and Techniques
Processing a C++ Program,Input Failure and the if Statement
Structured Programming,Input Failure and the if Statement
The Language of a Computer,Confusion between the Equality Operator (==) and the Assignment Operator (=)
Processing a C++ Program,Confusion between the Equality Operator (==) and the Assignment Operator (=)
The Language of a Computer,Conditional Operator (?:)
Processing a C++ Program,Conditional Operator (?:)
Programming with the Problem Analysis–Coding–Execution Cycle,Program Style and Form (Revisited): Indentation
Structured Programming,Program Style and Form (Revisited): Indentation
Processing a C++ Program,"Using Pseudocode to Develop, Test, and Debug a Program"
Programming with the Problem Analysis–Coding–Execution Cycle,"Using Pseudocode to Develop, Test, and Debug a Program"
The Language of a Computer,switch Structures
Processing a C++ Program,switch Structures
Processing a C++ Program,Avoiding Bugs by Avoiding Partially Understood Concepts and Techniques (Revisited)
Programming with the Problem Analysis–Coding–Execution Cycle,Avoiding Bugs by Avoiding Partially Understood Concepts and Techniques (Revisited)
Processing a C++ Program,Terminating a Program with the assert Function
Structured Programming,Terminating a Program with the assert Function
The Language of a Computer,Programming Example: Cable Company Billing
Processing a C++ Program,Programming Example: Cable Company Billing
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
Structured Programming,Quick Review
Elements of a Computer System,Exercises
The Language of a Computer,Exercises
Processing a C++ Program,Exercises
The Language of a Computer,Programming Exercises
Processing a C++ Program,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,5 CONTROL STRUCTURES II (REPETITION)
Structured Programming,5 CONTROL STRUCTURES II (REPETITION)
Processing a C++ Program,Why Is Repetition Needed?
Programming with the Problem Analysis–Coding–Execution Cycle,Why Is Repetition Needed?
Processing a C++ Program,while Looping (Repetition) Structure
Structured Programming,while Looping (Repetition) Structure
Processing a C++ Program,Designing while Loops
Structured Programming,Designing while Loops
Elements of a Computer System,Case 1: Counter-Controlled while Loops
Central Processing Unit and Main Memory,Case 1: Counter-Controlled while Loops
Software,Case 1: Counter-Controlled while Loops
The Language of a Computer,Case 1: Counter-Controlled while Loops
Elements of a Computer System,Case 2: Sentinel-Controlled while Loops
Central Processing Unit and Main Memory,Case 2: Sentinel-Controlled while Loops
Input /Output Devices,Case 2: Sentinel-Controlled while Loops
Software,Case 2: Sentinel-Controlled while Loops
The Language of a Computer,Case 2: Sentinel-Controlled while Loops
Processing a C++ Program,Case 2: Sentinel-Controlled while Loops
Programming with the Problem Analysis–Coding–Execution Cycle,Case 2: Sentinel-Controlled while Loops
The Language of a Computer,Case 3: Flag-Controlled while Loops
Processing a C++ Program,Case 3: Flag-Controlled while Loops
Processing a C++ Program,Case 4: EOF-Controlled while Loops
The Language of a Computer,Case 4: EOF-Controlled while Loops
Processing a C++ Program,eof Function
Structured Programming,eof Function
Elements of a Computer System,More on Expressions in while Statements
Central Processing Unit and Main Memory,More on Expressions in while Statements
Software,More on Expressions in while Statements
The Language of a Computer,More on Expressions in while Statements
Processing a C++ Program,More on Expressions in while Statements
Processing a C++ Program,Programming Example: Fibonacci Number
Programming with the Problem Analysis–Coding–Execution Cycle,Programming Example: Fibonacci Number
Processing a C++ Program,for Looping (Repetition) Structure
Structured Programming,for Looping (Repetition) Structure
The Language of a Computer,Programming Example: Classifying Numbers
Processing a C++ Program,Programming Example: Classifying Numbers
A Brief Overview of the History of Computers,dowhile Looping (Repetition) Structure
Elements of a Computer System,dowhile Looping (Repetition) Structure
Central Processing Unit and Main Memory,dowhile Looping (Repetition) Structure
Input /Output Devices,dowhile Looping (Repetition) Structure
Software,dowhile Looping (Repetition) Structure
The Language of a Computer,dowhile Looping (Repetition) Structure
Processing a C++ Program,dowhile Looping (Repetition) Structure
Programming with the Problem Analysis–Coding–Execution Cycle,dowhile Looping (Repetition) Structure
Processing a C++ Program,Choosing the Right Looping Structure
Programming with the Problem Analysis–Coding–Execution Cycle,Choosing the Right Looping Structure
Elements of a Computer System,break and continue Statements
Central Processing Unit and Main Memory,break and continue Statements
Input /Output Devices,break and continue Statements
Software,break and continue Statements
The Language of a Computer,break and continue Statements
Processing a C++ Program,break and continue Statements
Elements of a Computer System,Nested Control Structures
Central Processing Unit and Main Memory,Nested Control Structures
Software,Nested Control Structures
The Language of a Computer,Nested Control Structures
The Language of a Computer,Avoiding Bugs by Avoiding Patches
Processing a C++ Program,Avoiding Bugs by Avoiding Patches
Processing a C++ Program,Debugging Loops
Structured Programming,Debugging Loops
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
Processing a C++ Program,Exercises
Structured Programming,Exercises
Introduction,Programming Exercises
A Brief Overview of the History of Computers,Programming Exercises
Elements of a Computer System,Programming Exercises
Central Processing Unit and Main Memory,Programming Exercises
Input /Output Devices,Programming Exercises
Software,Programming Exercises
The Language of a Computer,Programming Exercises
Processing a C++ Program,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,6 USER-DEFINED FUNCTIONS I
Processing a C++ Program,6 USER-DEFINED FUNCTIONS I
The Language of a Computer,Predefined Functions
Processing a C++ Program,Predefined Functions
Processing a C++ Program,User-Defined Functions
Programming with the Problem Analysis–Coding–Execution Cycle,User-Defined Functions
Processing a C++ Program,Value-Returning Functions
Programming with the Problem Analysis–Coding–Execution Cycle,Value-Returning Functions
The Language of a Computer,Syntax: Formal Parameter List
Processing a C++ Program,Syntax: Formal Parameter List
The Language of a Computer,Syntax: Actual Parameter List
Processing a C++ Program,Syntax: Actual Parameter List
The Language of a Computer,Syntax: return Statement
Processing a C++ Program,Syntax: return Statement
Processing a C++ Program,Function Prototype
Programming with the Problem Analysis–Coding–Execution Cycle,Function Prototype
The Language of a Computer,Syntax: Function Prototype
Processing a C++ Program,Syntax: Function Prototype
The Language of a Computer,Value-Returning Functions: Some Peculiarity
Processing a C++ Program,Value-Returning Functions: Some Peculiarity
Elements of a Computer System,More Examples of Value-Returning Functions
Central Processing Unit and Main Memory,More Examples of Value-Returning Functions
Software,More Examples of Value-Returning Functions
The Language of a Computer,More Examples of Value-Returning Functions
Processing a C++ Program,More Examples of Value-Returning Functions
Processing a C++ Program,Flow of Execution
Programming with the Problem Analysis–Coding–Execution Cycle,Flow of Execution
Processing a C++ Program,Programming Example: Largest Number
Programming with the Problem Analysis–Coding–Execution Cycle,Programming Example: Largest Number
Structured Programming,Programming Example: Cable Company
Processing a C++ Program,Programming Example: Cable Company
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
The Language of a Computer,Programming Exercises
Processing a C++ Program,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,7 USER-DEFINED FUNCTIONS II
Processing a C++ Program,7 USER-DEFINED FUNCTIONS II
Structured Programming,7 USER-DEFINED FUNCTIONS II
The Language of a Computer,Void Functions
Processing a C++ Program,Void Functions
The Language of a Computer,FORMAL PARAMETER LIST
Processing a C++ Program,FORMAL PARAMETER LIST
The Language of a Computer,ACTUAL PARAMETER LIST
Processing a C++ Program,ACTUAL PARAMETER LIST
Elements of a Computer System,Value Parameters
The Language of a Computer,Value Parameters
Processing a C++ Program,Reference Variables as Parameters
Structured Programming,Reference Variables as Parameters
Processing a C++ Program,Calculate Grade
Programming with the Problem Analysis–Coding–Execution Cycle,Calculate Grade
Processing a C++ Program,Value and Reference Parameters and Memory Allocation
Programming with the Problem Analysis–Coding–Execution Cycle,Value and Reference Parameters and Memory Allocation
The Language of a Computer,Reference Parameters and Value-Returning Functions
Processing a C++ Program,Reference Parameters and Value-Returning Functions
Programming with the Problem Analysis–Coding–Execution Cycle,Reference Parameters and Value-Returning Functions
Processing a C++ Program,Scope of an Identifier
Structured Programming,Scope of an Identifier
Processing a C++ Program,"Global Variables, Named Constants, and Side Effects"
Programming with the Problem Analysis–Coding–Execution Cycle,"Global Variables, Named Constants, and Side Effects"
The Language of a Computer,Static and Automatic Variables
Processing a C++ Program,Static and Automatic Variables
Processing a C++ Program,Debugging: Using Drivers and Stubs
Programming with the Problem Analysis–Coding–Execution Cycle,Debugging: Using Drivers and Stubs
The Language of a Computer,Function Overloading: An Introduction
Processing a C++ Program,Function Overloading: An Introduction
Processing a C++ Program,Functions with Default Parameters
Structured Programming,Functions with Default Parameters
Processing a C++ Program,Programming Example: Classify Numbers
Structured Programming,Programming Example: Classify Numbers
Processing a C++ Program,Programming Example: Data Comparison
Structured Programming,Programming Example: Data Comparison
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
Processing a C++ Program,Exercises
Programming with the Problem Analysis–Coding–Execution Cycle,Exercises
The Language of a Computer,Programming Exercises
Processing a C++ Program,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,"8 USER-DEFINED SIMPLE DATA TYPES, NAMESPACES, AND THE string TYPE"
Processing a C++ Program,"8 USER-DEFINED SIMPLE DATA TYPES, NAMESPACES, AND THE string TYPE"
The Language of a Computer,Enumeration Type
Processing a C++ Program,Enumeration Type
The Language of a Computer,Declaring Variables
Processing a C++ Program,Declaring Variables
The Language of a Computer,Operations on Enumeration Types
Processing a C++ Program,Operations on Enumeration Types
The Language of a Computer,Relational Operators
Processing a C++ Program,Relational Operators
Elements of a Computer System,Input /Output of Enumeration Types
Input /Output Devices,Input /Output of Enumeration Types
The Language of a Computer,Input /Output of Enumeration Types
Processing a C++ Program,Input /Output of Enumeration Types
A Brief Overview of the History of Computers,Functions and Enumeration Types
Elements of a Computer System,Functions and Enumeration Types
The Language of a Computer,Functions and Enumeration Types
Processing a C++ Program,Functions and Enumeration Types
The Language of a Computer,Declaring Variables When Defining the Enumeration Type
Processing a C++ Program,Declaring Variables When Defining the Enumeration Type
The Language of a Computer,Anonymous Data Types
Processing a C++ Program,Anonymous Data Types
The Language of a Computer,typedef Statement
Processing a C++ Program,typedef Statement
The Language of a Computer,"Programming Example: The Game of Rock, Paper, and Scissors"
Processing a C++ Program,"Programming Example: The Game of Rock, Paper, and Scissors"
The Language of a Computer,Namespaces
Processing a C++ Program,Namespaces
ANSI/ISO Standard C++,Namespaces
The Language of a Computer,string Type
Processing a C++ Program,string Type
The Language of a Computer,Additional string Operations
Processing a C++ Program,Additional string Operations
The Language of a Computer,Programming Example: Pig Latin Strings
Processing a C++ Program,Programming Example: Pig Latin Strings
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
The Language of a Computer,Exercises
Processing a C++ Program,Exercises
Elements of a Computer System,Programming Exercises
The Language of a Computer,Programming Exercises
Processing a C++ Program,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,9 ARRAYS AND STRINGS
Elements of a Computer System,Arrays
The Language of a Computer,Arrays
The Language of a Computer,Accessing Array Components
Processing a C++ Program,Accessing Array Components
Processing a C++ Program,Processing One-Dimensional Arrays
Structured Programming,Processing One-Dimensional Arrays
Elements of a Computer System,Array Initialization During Declaration
The Language of a Computer,Array Initialization During Declaration
The Language of a Computer,Partial Initialization of Arrays During Declaration
Processing a C++ Program,Partial Initialization of Arrays During Declaration
Elements of a Computer System,Arrays as Parameters to Functions
Central Processing Unit and Main Memory,Arrays as Parameters to Functions
The Language of a Computer,Arrays as Parameters to Functions
Processing a C++ Program,Arrays as Parameters to Functions
Elements of a Computer System,Constant Arrays as Formal Parameters
Central Processing Unit and Main Memory,Constant Arrays as Formal Parameters
Software,Constant Arrays as Formal Parameters
The Language of a Computer,Constant Arrays as Formal Parameters
Elements of a Computer System,Base Address of an Array and Array in Computer Memory
Central Processing Unit and Main Memory,Base Address of an Array and Array in Computer Memory
Elements of a Computer System,Functions Cannot Return a Value of the Type Array
Central Processing Unit and Main Memory,Functions Cannot Return a Value of the Type Array
Software,Functions Cannot Return a Value of the Type Array
The Language of a Computer,Functions Cannot Return a Value of the Type Array
Processing a C++ Program,Functions Cannot Return a Value of the Type Array
Elements of a Computer System,Integral Data Type and Array Indices
The Language of a Computer,Integral Data Type and Array Indices
Processing a C++ Program,Integral Data Type and Array Indices
The Language of a Computer,Other Ways to Declare Arrays
Processing a C++ Program,Other Ways to Declare Arrays
The Language of a Computer,Searching an Array for a Specific Item
Processing a C++ Program,Searching an Array for a Specific Item
The Language of a Computer,C-Strings (Character Arrays)
Processing a C++ Program,C-Strings (Character Arrays)
The Language of a Computer,String Comparison
Processing a C++ Program,String Comparison
The Language of a Computer,Reading and Writing Strings
Processing a C++ Program,Reading and Writing Strings
The Language of a Computer,String Input
Processing a C++ Program,String Input
The Language of a Computer,String Output
Processing a C++ Program,String Output
Processing a C++ Program,Specifying Input/Output Files at Execution Time
Programming with the Problem Analysis–Coding–Execution Cycle,Specifying Input/Output Files at Execution Time
A Brief Overview of the History of Computers,string Type and Input/Output Files
Elements of a Computer System,string Type and Input/Output Files
The Language of a Computer,string Type and Input/Output Files
Processing a C++ Program,string Type and Input/Output Files
Elements of a Computer System,Parallel Arrays
Central Processing Unit and Main Memory,Parallel Arrays
Software,Parallel Arrays
The Language of a Computer,Parallel Arrays
A Brief Overview of the History of Computers,Two- and Multidimensional Arrays
Elements of a Computer System,Two- and Multidimensional Arrays
Central Processing Unit and Main Memory,Two- and Multidimensional Arrays
Input /Output Devices,Two- and Multidimensional Arrays
Software,Two- and Multidimensional Arrays
The Language of a Computer,Two- and Multidimensional Arrays
Processing a C++ Program,Two- and Multidimensional Arrays
A Brief Overview of the History of Computers,Accessing Array Components
Elements of a Computer System,Accessing Array Components
Central Processing Unit and Main Memory,Accessing Array Components
Input /Output Devices,Accessing Array Components
Software,Accessing Array Components
The Language of a Computer,Accessing Array Components
Processing a C++ Program,Accessing Array Components
The Language of a Computer,Two-Dimensional Array Initialization During Declaration
Processing a C++ Program,Two-Dimensional Array Initialization During Declaration
The Language of a Computer,Two-Dimensional Arrays and Enumeration Types
Processing a C++ Program,Two-Dimensional Arrays and Enumeration Types
Processing a C++ Program,Initialization
Structured Programming,Initialization
The Language of a Computer,Print
Processing a C++ Program,Print
Processing a C++ Program,Input
A Brief Overview of the History of Computers,Sum by Row
Elements of a Computer System,Sum by Row
Central Processing Unit and Main Memory,Sum by Row
Input /Output Devices,Sum by Row
Software,Sum by Row
The Language of a Computer,Sum by Row
Processing a C++ Program,Sum by Row
The Language of a Computer,Sum by Column
Processing a C++ Program,Sum by Column
Processing a C++ Program,Largest Element in Each Row and Each Column
Programming with the Problem Analysis–Coding–Execution Cycle,Largest Element in Each Row and Each Column
The Language of a Computer,Passing Two-Dimensional Arrays as Parameters to Functions
Processing a C++ Program,Passing Two-Dimensional Arrays as Parameters to Functions
The Language of a Computer,Arrays of Strings
Processing a C++ Program,Arrays of Strings
The Language of a Computer,Arrays of Strings and the string Type
Processing a C++ Program,Arrays of Strings and the string Type
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,Arrays of Strings and C-Strings (Character Arrays)
Processing a C++ Program,Arrays of Strings and C-Strings (Character Arrays)
Programming with the Problem Analysis–Coding–Execution Cycle,Arrays of Strings and C-Strings (Character Arrays)
Two- and Multidimensional Arrays,Another Way to Declare a Two-Dimensional Array
The Language of a Computer,Multidimensional Arrays
Processing a C++ Program,Multidimensional Arrays
The Language of a Computer,Programming Example: Code Detection
Processing a C++ Program,Programming Example: Code Detection
The Language of a Computer,Programming Example: Text Processing
Processing a C++ Program,Programming Example: Text Processing
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
The Language of a Computer,Exercises
Processing a C++ Program,Exercises
Processing a C++ Program,Programming Exercises
Programming with the Problem Analysis–Coding–Execution Cycle,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,10 RECORDS (structS)
Processing a C++ Program,10 RECORDS (structS)
Structured Programming,10 RECORDS (structS)
Processing a C++ Program,Records (structs)
Structured Programming,Records (structs)
Elements of a Computer System,Accessing struct Members
The Language of a Computer,Accessing struct Members
Elements of a Computer System,Assignment
Central Processing Unit and Main Memory,Assignment
Software,Assignment
The Language of a Computer,Assignment
Processing a C++ Program,Assignment
Elements of a Computer System,Comparison (Relational Operators)
The Language of a Computer,Comparison (Relational Operators)
Input /Output Devices,Input /Output
Processing a C++ Program,Input /Output
Elements of a Computer System,struct Variables and Functions
The Language of a Computer,struct Variables and Functions
Processing a C++ Program,struct Variables and Functions
A Brief Overview of the History of Computers,Arrays versus structs
Elements of a Computer System,Arrays versus structs
The Language of a Computer,Arrays versus structs
Processing a C++ Program,Arrays versus structs
Elements of a Computer System,Arrays in structs
Central Processing Unit and Main Memory,Arrays in structs
Software,Arrays in structs
The Language of a Computer,Arrays in structs
Elements of a Computer System,structs in Arrays
Central Processing Unit and Main Memory,structs in Arrays
Software,structs in Arrays
The Language of a Computer,structs in Arrays
Structured Programming,structs within a struct
The Language of a Computer,Quick Review
Processing a C++ Program,Quick Review
Processing a C++ Program,Exercises
Structured Programming,Exercises
The Language of a Computer,Programming Exercises
Processing a C++ Program,Programming Exercises
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,11 CLASSES AND DATA ABSTRACTION
Introduction,11 CLASSES AND DATA ABSTRACTION
The Language of a Computer,11 CLASSES AND DATA ABSTRACTION
Processing a C++ Program,11 CLASSES AND DATA ABSTRACTION
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,Classes
Introduction,Classes
Processing a C++ Program,Classes
Programming with the Problem Analysis–Coding–Execution Cycle,Classes
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,Unified Modeling Language Class Diagrams
Object-Oriented Programming,Unified Modeling Language Class Diagrams
Programming with the Problem Analysis–Coding–Execution Cycle,Variable (Object) Declaration
Object-Oriented Programming,Variable (Object) Declaration
Elements of a Computer System,Accessing Class Members
Central Processing Unit and Main Memory,Accessing Class Members
Software,Accessing Class Members
The Language of a Computer,Accessing Class Members
Processing a C++ Program,Accessing Class Members
1 AN OVERVIEW OF COMPUTERS AND PROGRAMMING LANGUAGES,Built-in Operations on Classes
Processing a C++ Program,Built-in Operations on Classes
Programming with the Problem Analysis–Coding–Execution Cycle,Built-in Operations on Classes
Elements of a Computer System,Assignment Operator and Classes
Central Processing Unit and Main Memory,Assignment Operator and Classes
Software,Assignment Operator and Classes
The Language of a Computer,Assignment Operator and Classes
Object-Oriented Programming,Assignment Operator and Classes
Elements of a Computer System,Class Scope
Central Processing Unit and Main Memory,Class Scope
Software,Class Scope
The Language of a Computer,Class Scope
Processing a C++ Program,Class Scope
Object-Oriented Programming,Functions and Classes
ANSI/ISO Standard C++,Functions and Classes
The Language of a Computer,Reference Parameters and Class Objects (Variables)
Processing a C++ Program,Reference Parameters and Class Objects (Variables)
Object-Oriented Programming,Implementation of Member Functions
