Title,Start_Page,Content
2.2 The cout Object,62,"2.2 The cout Object 31 2.2 The cout Object CONCEPT: Use the cout object to display information on the computer’s screen. In this section you will learn to write programs that produce output on the screen. The simplest type of screen output that a program can display is console output , which is merely plain text. The word console is an old computer term. It comes from the days when a computer operator interacted with the system by typing on a terminal. The terminal, which consisted of a simple screen and keyboard, was known as the console . On modern computers, running graphical operating systems such as Windows or Mac OS X, console output is usually displayed in a window such as the one shown in Figure 2-1 . In C++ you use the cout object to produce console output. (You can think of the word cout as meaning c onsole out put.) Figure 2-1 A Console Window cout is classified as a stream object , which means it works with streams of data. To print a message on the screen, you send a st..."
2.3 The #include Directive,67,"The #include Directive CONCEPT: The #include directive causes the contents of another file to be inserted into the program. Now is a good time to expand our discussion of the #include directive. The following line has appeared near the top of every example program. #include <iostream> The header file iostream must be included in any program that uses the cout object. This is because cout is not part of the “core” of the C++ language. Specifically, it is part of the input–output stream library . The header file, iostream , contains information describing iostream objects. Without it, the compiler will not know how to properly compile a pro- gram that uses cout . Preprocessor directives are not C++ statements. They are commands to the preprocessor, which runs prior to the compiler (hence the name “preprocessor”). The preprocessor’s job is to set programs up in a way that makes life easier for the programmer. For example, any program that uses the cout object must contain the extensive..."
2.4 Variables and Literals,68,"2.4 Variables and Literals 37 using namespace std; // It's a mad, mad program #include <iostream> cout << ""Success\n""; { return 0; When the lines are properly arranged the program should display the following on the screen: Program Output Success Success Success Success Rearrange the lines in the correct order. Test the program by entering it on the computer, compiling it, and running it. 2.3 Study the following program and show what it will print on the screen. // The Works of Wolfgang #include <iostream> using namespace std; int main() { cout << ""The works of Wolfgang\ninclude the following""; cout << ""\nThe Turkish March"" << endl; cout << ""and Symphony No. 40 ""; cout << ""in G minor."" << endl; return 0; } 2.4 On paper, write a program that will display your name on the first line, your street address on the second line, your city, state, and ZIP code on the third line, and your telephone number on the fourth line. Place a comment with today’s date at the top of the program. Test yo..."
2.5 Identifiers,72,"2.5 Identifiers 41 int main() { int number; number = 712; cout << ""The value is "" << ""number"" << endl; return 0; } 2.5 Identifiers CONCEPT: Choose variable names that indicate what the variables are used for. An identifier is a programmer-defined name that represents some element of a program. Variable names are examples of identifiers. You may choose your own variable names in C++, as long as you do not use any of the C++ key words. The key words make up the “core” of the language and have specific purposes. Table 2-4 shows a complete list of the C++ key words. Note that they are all lowercase. Table 2-4 The C++ Key Words alignas const for private throw alignof constexpr friend protected true and const_cast goto public try and_eq continue if register typedef asm decltype inline reinterpret_cast typeid auto default int return typename bitand delete long short union bitor do mutable signed unsigned bool double namespace sizeof using break dynamic_cast new static virtual case else noe..."
2.6 Integer Data Types,73,"Integer Data Types CONCEPT: There are many different types of data. Variables are classified according to their data type, which determines the kind of information that may be stored in them. Integer variables can only hold whole numbers. 2.6 Integer Data Types 43 Computer programs collect pieces of data from the real world and manipulate them in various ways. There are many different types of data. In the realm of numeric information, for example, there are whole numbers and fractional numbers. There are negative numbers and positive numbers. And there are numbers so large, and others so small, that they don’t even have a name. Then there is textual information. Names and addresses, for instance, are stored as groups of characters. When you write a program you must determine what types of information it will be likely to encounter. If you are writing a program to calculate the number of miles to a distant star, you’ll need variables that can hold very large numbers. If you are desi..."
2.7 The char Data Type,79,"The char Data Type The char data type is used to store individual characters. A variable of the char data type can hold only one character at a time. Here is an example of how you might declare a char variable: char letter; This statement declares a char variable named letter , which can store one character. In C++, character literals are enclosed in single quotation marks. Here is an example showing how we would assign a character to the letter variable: letter = 'g'; This statement assigns the character 'g' to the letter variable. Because char variables can hold only one character, they are not compatible with strings. For example, you can- not assign a string to a char variable, even if the string contains only one character. The following statement, for example, will not compile because it attempts to assign a string literal to a char variable. letter = ""g""; // ERROR! Cannot assign a string to a char It is important that you do not confuse character literals, which are enclosed ..."
2.8 The C++ string Class,83,"The C++ string Class CONCEPT: Standard C++ provides a special data type for storing and working with strings. Because a char variable can store only one character in its memory location, another data type is needed for a variable able to hold an entire string. Although C++ does not have a built-in data type able to do this, standard C++ provides something called the string class that allows the programmer to create a string type variable. Using the string Class The first step in using the string class is to #include the string header file. This is accomplished with the following preprocessor directive: #include <string> The next step is to define a string type variable, called a string object. Defining a string object is similar to defining a variable of a primitive type. For example, the following state- ment defines a string object named movieTitle . string movieTitle; You can assign a string literal to movieTitle with the assignment operator: movieTitle = ""Wheels of Fury""; You ca..."
2.9 Floating-Point Data Types,85,"Floating-Point Data Types CONCEPT: Floating-point data types are used to define variables that can hold real numbers. Whole numbers are not adequate for many jobs. If you are writing a program that works with dollar amounts or precise measurements, you need a data type that allows fractional values. In programming terms, these are called floating-point numbers. Internally, floating-point numbers are stored in a manner similar to scientific notation. Take the number 47,281.97. In scientific notation this number is 4.728197 * 10 4 . (10 4 is equal to 10,000, and 4.728197 * 10,000 is 47,281.97.) The first part of the number, 4.728197, is called the mantissa. The mantissa is multiplied by a power of ten. Computers typically use E notation to represent floating-point values. In E notation, the number 47,281.97 would be 4.728197E4. The part of the number before the E is the man- tissa, and the part after the E is the power of 10. When a floating point number is stored in memory, it is sto..."
2.10 The bool Data Type,88,"2.10 The bool Data Type 57 When the float variable f is assigned to the int variable i , the value being assigned (7.5) is truncated. After this code executes i will hold the value 7 and f will hold the value 7.5. NOTE: When a floating-point value is truncated, it is not rounded. Assigning the value 7.9 to an int variable will result in the value 7 being stored in the variable. WARNING! Floating-point variables can hold a much larger range of values than integer variables can. If a floating-point value is being stored in an integer variable, and the whole part of the value (the part before the decimal point) is too large for the integer variable, an invalid value will be stored in the integer variable. 2.10 The bool Data Type CONCEPT: Boolean variables are set to either true or false . Expressions that have a true or false value are called Boolean expressions, named in honor of English mathematician George Boole (1815–1864). The bool data type allows you to create small integer vari..."
2.11 Determining the Size of a Data Type,89,"2.11 Determining the Size of a Data Type CONCEPT: The sizeof operator may be used to determine the size of a data type on any system. Chapter 1 discussed the portability of the C++ language. As you have seen in this chap- ter, one of the problems of portability is the lack of common sizes of data types on all machines. If you are not sure what the sizes of data types are on your computer, C++ provides a way to find out. A special operator called sizeof will report the number of bytes of memory used by any data type or variable. Program 2-18 illustrates its use. The first line that uses the operator is line 10: cout << ""The size of an integer is "" << sizeof(int); The name of the data type or variable is placed inside the parentheses that follow the operator. The operator “returns” the number of bytes used by that item. This operator can be invoked anywhere you can use an unsigned integer, including in mathematical operations. Program 2-18 1 // This program determines the size of inte..."
2.12 Variable Assignments and Initialization,90,"2.12 Variable Assignments and Initialization 59 Checkpoint 2.18 Yes or No: Is there an unsigned floating point data type? If so, what is it? 2.19 How would the following number in scientific notation be represented in E notation? 6.31  1017 2.20 Write a program that defines an integer variable named age and a float variable named weight . Store your age and weight, as literals, in the variables. The program should display these values on the screen in a manner similar to the following: Program Output My age is 26 and my weight is 180 pounds. (Feel free to lie to the computer about your age and your weight— it’ll never know!) 2.12 Variable Assignments and Initialization CONCEPT: An assignment operation assigns, or copies, a value into a variable. When a value is assigned to a variable as part of the variable’s definition, it is called an initialization. As you have already seen in several examples, a value is stored in a variable with an assignment statement . For example, the follo..."
2.13 Scope,92,"2.13 Scope CONCEPT: A variable’s scope is the part of the program that has access to the variable. Every variable has a scope . The scope of a variable is the part of the program where the variable may be used. The rules that define a variable’s scope are complex, and you will only be introduced to the concept here. In other sections of the book we will revisit this topic and expand on it. The first rule of scope you should learn is that a variable cannot be used in any part of the program before the definition. Program 2-20 illustrates this. Program 2-20 1 // This program can't find its variable. 2 #include <iostream> 3 using namespace std; 4 5 int main() 6 { 7 cout << value; // ERROR! value not defined yet! 8 9 int value = 100; 10 return 0; 11 } The program will not work because line 7 attempts to send the contents of the variable value to cout before the variable is defined. The compiler reads your program from top to bottom. If it encounters a statement that uses a variable befo..."
2.14 Arithmetic Operators,92,"2.14 Arithmetic Operators 61 These examples show how to use the auto key word, but they don’t really show its useful- ness. The auto key word is intended to simplify the syntax of declarations that are more complex than the ones shown here. Later in the book, you will see examples of how the auto key word can improve the readability of complex definition statements. 2.13 Scope CONCEPT: A variable’s scope is the part of the program that has access to the variable. Every variable has a scope . The scope of a variable is the part of the program where the variable may be used. The rules that define a variable’s scope are complex, and you will only be introduced to the concept here. In other sections of the book we will revisit this topic and expand on it. The first rule of scope you should learn is that a variable cannot be used in any part of the program before the definition. Program 2-20 illustrates this. Program 2-20 1 // This program can't find its variable. 2 #include <iostream> 3..."
2.15 Comments,100,"2.15 Comments 69 Checkpoint 2.21 Is the following assignment statement valid or invalid? If it is invalid, why? 72 = amount; 2.22 How would you consolidate the following definitions into one statement? int x = 7; int y = 16; int z = 28; 2.23 What is wrong with the following program? How would you correct it? #include <iostream> using namespace std; int main() { number = 62.7; double number; cout << number << endl; return 0; } 2.24 Is the following an example of integer division or floating-point division? What value will be stored in portion ? portion = 70 / 3; 2.15 Comments CONCEPT: Comments are notes of explanation that document lines or sections of a program. Comments are part of the program, but the compiler ignores them. They are intended for people who may be reading the source code. It may surprise you that one of the most important parts of a program has absolutely no impact on the way it runs. In fact, the compiler ignores this part of a program. Of course, I’m speaking of ..."
2.16 Named Constants,102,"2.16 Named Constants 71 9 using namespace std; 10 11 int main() 12 { 13 double payRate; // Holds the hourly pay rate 14 double hours; // Holds the hours worked 15 int employNumber; // Holds the employee number (The remainder of this program is left out.) Unlike a comment started with // , a multi-line comment can span several lines. This makes it more convenient to write large blocks of comments because you do not have to mark every line. Consequently, the multi-line comment is inconvenient for writing single-line comments because you must type both a beginning and ending comment symbol. NOTE: Many programmers use a combination of single-line comments and multi-line comments in their programs. Convenience usually dictates which style to use. Remember the following advice when using multi-line comments: • Be careful not to reverse the beginning symbol with the ending symbol. • Be sure not to forget the ending symbol. Both of these mistakes can be difficult to track down and will prev..."
2.17 Programming Style,104,"2.17 Programming Style 73 12 double circumference; 13 14 // Calculate the circumference. 15 circumference = PI * DIAMETER; 16 17 // Display the circumference. 18 cout << ""The circumference is: "" << circumference << endl; 19 return 0; 20 } Program Output The circumference is: 31.4159 Let’s take a closer look at the program. Line 8 defines a constant double named PI , initial- ized with the value 3.14159. This constant will be used for the value of pi in the program’s calculation. Line 9 defines a constant double named DIAMETER , initialized with the value 10. This will be used for the circle’s diameter. Line 12 defines a double variable named circumference , which will be used to hold the circle’s circumference. Line 15 calculates the circle’s circumference by multiplying PI by DIAMETER . The result of the calculation is assigned to the circumference variable. Line 18 displays the circle’s circumference. Checkpoint 2.25 Write statements using the const qualifier to create named const..."
Review Questions and Exercises,106,"Review Questions and Exercises 75 Another aspect of programming style is how to handle statements that are too long to fit on one line. Because C++ is a free-flowing language, it is usually possible to spread a statement over several lines. For example, here is a cout statement that uses five lines: cout << ""The Fahrenheit temperature is "" << fahrenheit << "" and the Celsius temperature is "" << celsius << endl; This statement will work just as if it were typed on one line. Here is an example of variable definitions treated similarly: int fahrenheit, celsius, kelvin; There are many other issues related to programming style. They will be presented through- out the book. Review Questions and Exercises Short Answer 1. How many operands does each of the following types of operators require? _______ Unary _______ Binary _______ Ternary 2. How may the double variables temp , weight , and age be defined in one statement? 3. How may the int variables months , days , and years be defined in on..."
3.1 The cin Object,114,"The cin Object 3.2 Mathematical Expressions 3.3 When You Mix Apples and Oranges: Type Conversion 3.4 Overflow and Underflow 3.5 Type Casting 3.6 Multiple Assignment and Combined Assignment 3.7 Formatting Output 3.8 Working with Characters and string Objects 3.9 More Mathematical Library Functions 3.10 Focus on Debugging: Hand Tracing a Program 3.11 Focus on Problem Solving: A Case Study C H A P T E R 3.1 The cin Object CONCEPT: The cin object can be used to read data typed at the keyboard. So far you have written programs with built-in data. Without giving the user an opportu- nity to enter his or her own data, you have initialized the variables with the necessary start- ing values. These types of programs are limited to performing their task with only a single set of starting data. If you decide to change the initial value of any variable, the program must be modified and recompiled. In reality, most programs ask for values that will be assigned to variables. This means the program..."
3.2 Mathematical Expressions,120,"3.2 Mathematical Expressions 89 3.2 Mathematical Expressions CONCEPT: C++ allows you to construct complex mathematical expressions using multiple operators and grouping symbols. In Chapter 2 you were introduced to the basic mathematical operators, which are used to build mathematical expressions. An expression is a programming statement that has a value. Usually, an expression consists of an operator and its operands. Look at the follow- ing statement: sum = 21 + 3; Since 21 + 3 has a value, it is an expression. Its value, 24, is stored in the variable sum . Expressions do not have to be in the form of mathematical operations. In the following statement, 3 is an expression. number = 3; Here are some programming statements where the variable result is being assigned the value of an expression: result = x; result = 4; result = 15 / 3; result = 22 * number; result = sizeof(int); result = a + b + c; In each of these statements, a number, variable name, or mathematical expression appears..."
3.3 When You Mix Apples and Oranges: Type Conversion,129,"When You Mix Apples and Oranges: Type Conversion CONCEPT: When an operator’s operands are of different data types, C++ will automatically convert them to the same data type. This can affect the results of mathematical expressions. If an int is multiplied by a float , what data type will the result be? What if a double is divided by an unsigned int ? Is there any way of predicting what will happen in these instances? The answer is yes. C++ follows a set of rules when performing mathematical operations on variables of different data types. It’s helpful to understand these rules to prevent subtle errors from creeping into your programs. Just like officers in the military, data types are ranked. One data type outranks another if it can hold a larger number. For example, a float outranks an int . Table 3-7 lists the data types in order of their rank, from highest to lowest. Table 3-7 Data Type Ranking long double double float unsigned long long unsigned int int One exception to the ranki..."
3.4 Overflow and Underflow,131,"Overflow and Underflow CONCEPT: When a variable is assigned a value that is too large or too small in range for that variable’s data type, the variable overflows or underflows. Trouble can arise when a variable is being assigned a value that is too large for its type. Here is a statement where a , b , and c are all short integers: a = b * c; If b and c are set to values large enough, the multiplication will produce a number too big to be stored in a . To prepare for this, a should have been defined as an int , or a long int . When a variable is assigned a number that is too large for its data type, it overflows. Likewise, assigning a value that is too small for a variable causes it to underflow. Program 3-7 shows what happens when an integer overflows or underflows. (The output shown is from a system with two-byte short integers.) Program 3-7 1 // This program demonstrates integer overflow and underflow. 2 #include <iostream> 3 using namespace std; 4 5 int main() 6 { 7 // testVar is..."
3.5 Type Casting,132,"3.5 Type Casting 101 contents to wrap back around to 32,767. No warning or error message is given, so be care- ful when working with numbers close to the maximum or minimum range of an integer. If an overflow or underflow occurs, the program will use the incorrect number and therefore produce incorrect results. When floating-point variables overflow or underflow, the results depend upon how the compiler is configured. Your system may produce programs that do any of the following: • Produces an incorrect result and continues running. • Prints an error message and immediately stops when either floating point overflow or underflow occurs. • Prints an error message and immediately stops when floating point overflow occurs, but stores a 0 in the variable when it underflows. • Gives you a choice of behaviors when overflow or underflow occurs. You can find out how your system reacts by compiling and running Program 3-8 . Program 3-8 1 // This program can be used to see how your system hand..."
3.6 Multiple Assignment and Combined Assignment,135,"Multiple Assignment and Combined Assignment CONCEPT: Multiple assignment means to assign the same value to several variables with one statement. C++ allows you to assign a value to multiple variables at once. If a program has several variables, such as a , b , c , and d , and each variable needs to be assigned a value, such as 12, the following statement may be constructed: a = b = c = d = 12; The value 12 will be assigned to each variable listed in the statement. * * The assignment operator works from right to left. 12 is first assigned to d , then to c , then to b , then to a . 3.6 Multiple Assignment and Combined Assignment 105 Combined Assignment Operators Quite often, programs have assignment statements of the following form: number = number + 1; The expression on the right side of the assignment operator gives the value of number plus 1. The result is then assigned to number , replacing the value that was previously stored there. Effectively, this statement adds 1 to number . ..."
3.7 Formatting Output,139,"Formatting Output CONCEPT: The cout object provides ways to format data as it is being displayed. This affects the way data appears on the screen. The same data can be printed or displayed in several different ways. For example, all of the following numbers have the same value, although they look different: 720 720.0 720.00000000 7.2e+2 +720.0 The way a value is printed is called its formatting. The cout object has a standard way of formatting variables of each data type. Sometimes, however, you need more control over the way data is displayed. Consider Program 3-12 , for example, which displays three rows of numbers with spaces between each one. Program 3-12 1 // This program displays three rows of numbers. 2 #include <iostream> 3 using namespace std; 4 5 int main() 6 { 7 int num1 = 2897, num2 = 5, num3 = 837, 3.7 Formatting Output 109 8 num4 = 34, num5 = 7, num6 = 1623, 9 num7 = 390, num8 = 3456, num9 = 12; 10 11 // Display the first row of numbers 12 cout << num1 << "" "" << num2 <..."
3.8 Working with Characters and string Objects,149,"Working with Characters and string Objects CONCEPT: Special functions exist for working with characters and string objects. Although it is possible to use cin with the >> operator to input strings, it can cause prob- lems that you need to be aware of. When cin reads input, it passes over and ignores any leading whitespace characters (spaces, tabs, or line breaks). Once it comes to the first non- blank character and starts reading, it stops reading when it gets to the next whitespace character. Program 3-18 illustrates this problem. Program 3-18 1 // This program illustrates a problem that can occur if 2 // cin is used to read character data into a string object. 3 #include <iostream> 4 #include <string> 5 using namespace std; 6 7 int main() 8 { 9 string name; 10 string city; 11 12 cout << ""Please enter your name: ""; 13 cin >> name; 14 cout << ""Enter the city you live in: ""; 15 cin >> city; 16 3.8 Working with Characters and string Objects 119 17 cout << ""Hello, "" << name << endl; 18..."
3.9 More Mathematical Library Functions,155,"More Mathematical Library Functions CONCEPT: The C++ runtime library provides several functions for performing com- plex mathematical operations. Earlier in this chapter you learned to use the pow function to raise a number to a power. The C++ library has numerous other functions that perform specialized mathematical opera- tions. These functions are useful in scientific and special-purpose programs. Table 3-13 shows several of these, each of which requires the cmath header file. 3.9 More Mathematical Library Functions 125 Each of these functions is as simple to use as the pow function. The following program seg- ment demonstrates the sqrt function, which returns the square root of a number: cout << ""Enter a number: ""; cin >> num; s = sqrt(num); cout << ""The square root of "" << num << "" is "" << s << endl; Here is the output of the program segment, with 25 as the number entered by the user: Enter a number: 25 The square root of 25 is 5 Program 3-24 shows the sqrt function being used ..."
3.10 Focus on Debugging: Hand Tracing a Program,161,"3.10 Focus on Debugging: Hand Tracing a Program Hand tracing is a debugging process where you pretend that you are the computer execut- ing a program. You step through each of the program’s statements one by one. As you look at a statement, you record the contents that each variable will have after the statement exe- cutes. This process is often helpful in finding mathematical mistakes and other logic errors. To hand trace a program you construct a chart with a column for each variable. The rows in the chart correspond to the lines in the program. For example, Program 3-27 is shown with a hand trace chart. The program uses the following four variables: num1 , num2 , num3 , and avg . Notice that the hand trace chart has a column for each variable and a row for each line of code in function main . Program 3-27 1 // This program asks for three numbers, then 2 // displays the average of the numbers. 3 #include <iostream> 4 using namespace std; 5 int main() 6 { num1 num2 num3 avg 7 doubl..."
3.11 Focus on Problem Solving: A Case Study,163,"3.11 Focus on Problem Solving: A Case Study General Crates, Inc. builds custom-designed wooden crates. With materials and labor, it costs GCI $0.23 per cubic foot to build a crate. In turn, they charge their customers $0.50 per cubic foot for the crate. You have been asked to write a program that calculates the volume (in cubic feet), cost, customer price, and profit of any crate GCI builds. Variables Table 3-14 shows the named constants and variables needed. Table 3-14 Constant or Variable Description COST_PER_CUBIC_FOOT A named constant, declared as a double and initialized with the value 0.23. This represents the cost to build a crate, per cubic foot. CHARGE_PER_CUBIC_FOOT A named constant, declared as a double and initialized with the value 0.5. This represents the amount charged for a crate, per cubic foot. length A double variable to hold the length of the crate, which is input by the user. width A double variable to hold the width of the crate, which is input by the user. hei..."
Review Questions and Exercises,167,Review Questions and Exercises Short Answer 1. Assume that the following variables are defined: int age; double pay; char section; Write a single cin statement that will read input into each of these variables. 2. Assume a string object has been defined as follows: string description; A) Write a cin statement that reads in a one-word string. B) Write a statement that reads in a string that can contain multiple words separated by blanks. 3. What header files must be included in the following program? int main() { double amount = 89.7; cout << showpoint << fixed; cout << setw(8) << amount << endl; return 0; } 4. Complete the following table by writing the value of each expression in the Value column. Expression Value 28 / 4 − 2 6 + 12 * 2 − 8 4 + 8 * 2 6 + 17 % 3 − 2 2 + 22 * (9 − 7) (8 + 7) * 2 (16 + 7) % 2 − 1 12 / (10 − 6) (19 − 3) * (2 + 2) / 4 5. Write C++ expressions for the following algebraic expressions: a  12x z  5x  14y  6k y  x4 g  h  12 4k c  a3 b2k4 136 Chapter 3...
4.1 Relational Operators,180,"Relational Operators CONCEPT: Relational operators allow you to compare numeric and char values and determine whether one is greater than, less than, equal to, or not equal to another. So far, the programs you have written follow this simple scheme: • Gather input from the user. • Perform one or more calculations. • Display the results on the screen. Computers are good at performing calculations, but they are also quite adept at comparing values to determine if one is greater than, less than, or equal to the other. These types of operations are valuable for tasks such as examining sales figures, determining profit and loss, checking a number to ensure it is within an acceptable range, and validating the input given by a user. Numeric data is compared in C++ by using relational operators. Each relational opera- tor determines whether a specific relationship exists between two values. For example, Making Decisions 4 TOPICS 4.1 Relational Operators 4.2 The if Statement 4.3 Expanding th..."
4.2 The if Statement,185,"Statement 4.2 Indicate whether the following statements about relational expressions are correct or incorrect. A) x <= y is the same as y > x. B) x != y is the same as y >= x . C) x >= y is the same as y <= x. 4.3 Answer the following questions with a yes or no. A) If it is true that x > y and it is also true that x < z, does that mean y < z is true? B) If it is true that x >= y and it is also true that z == x , does that mean that z == y is true? C) If it is true that x != y and it is also true that x != z, does that mean that z != y is true? 4.4 What will the following program display? #include <iostream> using namespace std; int main () { int a = 0, b = 2, x = 4, y = 0; cout << (a == b) << endl; cout << (a != y) << endl; cout << (b <= x) << endl; cout << (y > a) << endl; return 0; } 4.2 The if Statement CONCEPT: The if statement can cause other statements to execute only under certain conditions. You might think of the statements in a procedural program as individual steps taken ..."
